top_sentence|article_url|sender|instance_id|subject|id|tags|timestamp
Thousands of people including King Felipe VI  gathered in Placa Cataluña the main square in Barcelona's center for a minute of silence.|https://www.usatoday.com/story/news/world/2017/08/18/barcelona-terror-attack/579104001/|USATODAY.com||BREAKING: U.S. says at least 1 American killed 1 injured in the terrorist attacks in Spain|5996fad1cd4d745624000057|[barcelona's center 'silence' 'king' 'placa cataluna' 'american killed' 'felipe vi' 'spain' 'terrorist attacks' '1' 'breaking u.s.' 'main square' 'thousands']|2017-08-18T10:33:39-04:00
What We Know: Multiple Terrorist Attacks Hit Spain Police believe the attacks that killed 14 people are the work of an organized group of terrorists — and that they acted after an accidental explosion earlier this week.|http://www.npr.org/sections/thetwo-way/2017/08/18/544407561/what-we-know-multiple-terrorist-attacks-hit-spain|NPR||What We Know: Multiple Terrorist Attacks Hit Spain|5996fe5fcd4d745624000058|['accidental explosion' 'group' '14' 'know multiple terrorist' 'attacks' 'work' 'terrorists —' 'spain']|2017-08-18T10:48:41-04:00
1 American killed 1 injured in Spain attacks The State Department said today that at least one American was killed and one injured in the terror attacks in Spain.||Los Angeles Times||Breaking News: 1 American killed 1 injured in Spain attacks|59970171cd4d745624000059|['one' 'terror attacks' 'spain' 'minor wound' 'american casualties' 'american killed' 'identify' 'department' 'attacks' 'state department' '1']|2017-08-18T11:01:52-04:00
Witnesses says 3 people armed with knives and baseball bats attacked people in center of Turku.|https://www.usatoday.com/story/news/2017/08/18/police-finnish-coastal-city-shoot-arrest-suspect-after-stabbing-spree/579541001/|USATODAY.com||BREAKING: Police say 2 dead in stabbings in western Finland|599713efcd4d74562400005b|['knives' 'turku' '3' '2' 'witnesses' 'baseball bats' 'stabbings' 'center' 'finland']|2017-08-18T12:20:55-04:00
Steve Bannon the chief strategist to PresidentTrump is expected to leave the White House a source tells Fox News.|http://www.foxnews.com/politics/2017/08/18/stephen-bannon-out-at-white-house-source-says.html|FoxNews.com||BANNON OUT: Steve Bannon out as White House chief strategist Fox News has learned|59971cfccd4d74562400005c|['chief strategist' 'house' 'steve bannon' 'white house chief strategist' 'bannon out steve bannon' 'fox news' 'trump']|2017-08-18T12:59:33-04:00
Breaking News: President Trump told aides he's decided to push out Stephen Bannon as chief strategist.|https://www.nytimes.com/2017/08/18/us/politics/steve-bannon-trump-white-house.html|NYTimes.com|101803|Breaking News: President Trump told aides he's decided to push out Stephen Bannon as chief strategist. Now they're discussing how and when to do it.|59971d5bcd4d74562400005d|['trump' 'aides' 'header' 'stephen bannon' 'chief strategist']|2017-08-18T13:00:44-04:00
mass shooter spared death penalty as judge rules on fallout from jail informant scandal An Orange County judge today threw out the possibility of a death sentence for the man who murdered eight people at a Seal Beach salon in 2011.||Los Angeles Times||Breaking News: O.C. mass shooter spared death penalty as judge rules on fallout from jail informant scandal|59971e19cd4d74562400005e|['o.c.' 'death sentence' 'seal' 'county judge' 'eight' 'county’s' 'relevant evidence' 'fallout' 'beach salon' 'jail informant scandal' 'law enforcement' 'death penalty' 'possibility' 'judge rules' 'breaking news o.c.' '2011' 'judge' 'jailhouse informants' 'man' 'controversial use' 'orange' 'mass shooter']|2017-08-18T13:04:04-04:00
The exit comes after a surprisingly candid interview in which Bannon trashed his rivals inside the Trump administration rivals and said there was no plausible military solution to the North Korea crisis.||TIME||Steve Bannon out as White House chief strategist|59971e38cd4d74562400005f|['network' 'steve bannon' 'plausible' 'crisis' 'bannon' 'korea' 'rivals' 'breitbart' 'candid interview' 'white house chief strategist' 'exit' 'trump' 'website' 'military solution' 'administration rivals']|2017-08-18T13:04:46-04:00
Steve Bannon Trump's Controversial Strategist Leaves White House Staff President Donald Trump's chief strategist Steve Bannon left his position as newly minted Chief of Staff John Kelly sought to bring order to a White House riven by infighting and power struggles according to people familiar with the decision.|https://www.wsj.com/articles/steve-bannon-leaves-white-house-staff-1503075345|WSJ.com||WSJ NEWS ALERT: Steve Bannon Trump's Controversial Strategist Leaves White House Staff|59971e97cd4d745624000061|['power struggles' 'departure' 'position' 'order' 'number' donald trump's 'steve bannon' 'staff' 'chief' steve bannon trump's controversial strategist leaves 'election' wsj news alert steve bannon trump's controversial strategist leaves 'decision' 'administration' 'mr. trump' 'white house' 'chief strategist' 'early months' 'banker' 'staff john kelly' 'senior staff' 'media executive' 'white house riven' 'victory']|2017-08-18T13:06:01-04:00
President Trump had been under pressure to dispatch with the former Breitbart News executive whom many officials view as a political svengali but who has drawn scorn as a leading internal force encouraging and amplifying the president’s most controversial nationalist impulses.|https://www.washingtonpost.com/news/post-politics/wp/2017/08/18/stephen-bannon-out-as-white-house-chief-strategist-say-two-people-familiar-with-the-decision/|The Washington Post||News Alert: Stephen Bannon out as White House chief strategist say two people familiar with the decision|59971f34cd4d745624000062|['scorn' 'president’s' 'democracy dies' 'darkness' 'pressure' 'breitbart' 'news executive' 'trump' 'alert stephen bannon' 'controversial nationalist impulses' 'dispatch' 'officials' 'white house chief strategist' 'political svengali' 'internal force' 'decision']|2017-08-18T13:08:34-04:00
