top_sentence|article_url|sender|instance_id|subject|id|tags|timestamp
Officials in Charlottesville Virginiadeclared a state of emergency Saturday morning ahead of the “Unite the Right”rally as tensions rose and small clashes broke out.|http://www.foxnews.com/us/2017/08/12/emergency-declared-ahead-unite-right-rally-in-virginia.html|FoxNews.com||Clashes break out at white nationalist rally in Virginia local state of emergency declared|598f2827cd4d74061b00001b|['charlottesville virginia' 'rally' 'white nationalist rally' 'emergency' 'local state' 'unite' 'small clashes' 'officials' 'virginia' 'tensions' 'clashes']|2017-08-12T12:08:47-04:00
Breaking News: After white nationalists and neo-Nazis faced off with counter-protesters in Charlottesville Va. a state of emergency was declared|https://www.nytimes.com/2017/08/12/us/charlottesville-protest-white-nationalist.html|NYTimes.com|101532|Breaking News: After white nationalists and neo-Nazis faced off with counter-protesters in Charlottesville Va. a state of emergency was declared|598f2ad9cd4d74061b00001c|['white nationalists' 'header' 'charlottesville va' 'neo-nazis' 'counter-protesters' 'emergency']|2017-08-12T12:20:26-04:00
Police declared an unlawful assembly about 11:40 a.m. and gave a five-minute warning to leave Emancipation Park where hundreds of neo-Nazis Ku Klux Klan members and other white nationalists had gathered to protest the removal of a Confederate statue.|https://www.washingtonpost.com/world/national-security/calls-for-diplomacy-vie-with-fresh-threats-in-north-korea-crisis/2017/08/11/82df5396-7ec4-11e7-a669-b400c5c7e1cc_story.html|The Washington Post||News Alert: White nationalists ordered to vacate Charlottesville park before planned rally; local state of emergency declared|598f2bb5cd4d74061b00001d|['confederate' 'violence' 'violent clashes' '1140' 'five-minute warning' 'park' 'unlawful assembly' 'ku klux klan' 'emancipation park' 'rally local state' 'members' 'neo-nazis' 'response' 'noon “unite' 'statue' 'end' 'charlottesville' 'begun' 'hadn’t' 'governor' 'park —' 'white nationalists' 'hundreds' 'emergency' 'rally' 'removal' 'counterprotesters police' 'vacate']|2017-08-12T12:23:59-04:00
BREAKING: Alt-right rally in Charlottesville declared unlawful as Va. governor declares state of emergency|https://www.usatoday.com/story/news/2017/08/12/charlottesville-va-braces-alt-right-rally-thousands-robert-e-lee-statue/561833001/|USATODAY.com||BREAKING: Alt-right rally in Charlottesville declared unlawful as Va. governor declares state of emergency|598f2de9cd4d74061b00001e|['charlottesville va' 'unlawful' 'virginia' 'breaking alt-right' 'va' 'gathering' 'charlottesville' 'emergency' 'standby' 'pro-confederacy groups' 'gov' 'white nationalists neo-nazis alt-right activists' 'national guard' 'terry mcauliffe' 'violence' 'governor' 'rally']|2017-08-12T12:33:13-04:00
Police declared an unlawful assembly about 11:40 a.m. and gave a five-minute warning to leave Emancipation Park where hundreds of neo-Nazis Ku Klux Klans members and other white nationalists had gathered to protest the removal of a Confederate statue.|https://www.washingtonpost.com/local/fights-in-advance-of-saturday-protest-in-charlottesville/2017/08/12/155fb636-7f13-11e7-83c7-5bd5460f0d7e_story.html|The Washington Post||News Alert: White nationalists ordered to vacate Charlottesville park before planned rally; local state of emergency declared [corrected link]|598f2e67cd4d74061b000020|['link' 'response' '1140' 'begun' 'vacate' 'noon “unite' 'violent clashes' 'counterprotesters police' 'emancipation park' 'emergency' 'white nationalists' 'statue' 'rally local state' 'unlawful assembly' 'end' 'hundreds' 'members' 'ku klux klans' 'governor' 'park' 'violence' 'neo-nazis' 'five-minute warning' 'confederate' 'park —' 'rally' 'removal' 'charlottesville' 'hadn’t']|2017-08-12T12:35:26-04:00
Terry McAuliffe declared a state of emergency today as brawls between white nationalists and counter-protesters broke out in Charlottesville during one of the largest far-right demonstrations in at least a decade.||Los Angeles Times||Breaking News: State of emergency declared as brawls break out during white nationalists' rally in Virginia|598f2f81cd4d74061b000021|['white nationalists' 'charlottesville' 'white nationalists’ rally' 'one' 'far-right demonstrations' 'decade' 'latest' 'brawls' 'virginia' 'virginia virginia' 'gov' 'counter-protesters' 'emergency' 'terry mcauliffe' white nationalists' rally]|2017-08-12T12:40:05-04:00
White Nationalist Rally In Virginia Turns Violent; Emergency Declared White nationalists and counterprotesters clashed near a park in Charlottesville.|http://www.npr.org/sections/thetwo-way/2017/08/12/542982015/home-to-university-of-virginia-prepares-for-violence-at-white-nationalist-rally|NPR||White Nationalist Rally In Virginia Turns Violent; Emergency Declared|598f41bacd4d74061b000023|['white nationalists' 'park' 'virginia turns violent emergency declared' 'charlottesville' 'rally' 'counterprotesters']|2017-08-12T13:58:02-04:00
Police in riot gear were clearing a downtown park of protesters Saturday after local authorities declared a Unite the Right rally an unlawful assembly..|https://www.usatoday.com/story/news/2017/08/12/charlottesville-va-braces-alt-right-rally-thousands-robert-e-lee-statue/561833001/|USATODAY.com||BREAKING: Car hits crowd of protesters at white supremacist rally in Charlottesville Va.|598f43afcd4d74061b000024|['park' 'white supremacist rally' 'unlawful assembly..' 'local authorities' 'unite' 'riot gear' 'rally' 'hits crowd' 'breaking car' 'charlottesville va' 'protesters']|2017-08-12T14:06:14-04:00
A vehicle rammed into a crowd of counter-protesters in Charlottesville Virginia injuring an unknown amount of people during the Unite the Right rally taking place.|http://www.foxnews.com/us/2017/08/12/emergency-declared-ahead-unite-right-rally-in-virginia.html|FoxNews.com||Car plows into crowd of counter-protesters at Charlottesville ‘Unite the Right’ rally injuries unknown: reports say|598f45a4cd4d74061b000025|['plows' 'rally injuries unknown reports' 'place' 'vehicle' 'charlottesville' 'unknown amount' 'rally' 'counter-protesters' 'crowd' 'car' 'charlottesville virginia' 'unite']|2017-08-12T14:14:41-04:00
The city is on edge as white nationalists and counterprotesters remain in the streets after a Unite the Right rally was dispersed earlier today.|https://www.washingtonpost.com/local/fights-in-advance-of-saturday-protest-in-charlottesville/2017/08/12/155fb636-7f13-11e7-83c7-5bd5460f0d7e_story.html|The Washington Post||News Alert: At least 6 pedestrians struck along route of white nationalist march; witness said it was 'absolutely intentional'|598f4d3ccd4d74061b000027|['6' 'incident' 'edge' 'intentional' 'unite' 'matthew korbon' 'lets' 'condemn' 'city' 'charlottesville' 'route' 'america' 'president tweeted' 'three' 'white nationalists' 'melania trump' 'place' 'pedestrians' '10' 'feet' 'rally' 'trump' 'kind' 'violence' 'white nationalist march' 'twitter' 'streets' 'plow' 'counterprotesters' 'one”' 'car' 'crash happened' 'high speed rear-end']|2017-08-12T14:47:16-04:00
Car Plows Into Crowd After White Nationalist Protest In Virginia Video of the incident shows a car ramming into another and plowing into a crowd of marchers in Charlottesville Va. Several people were injured.|http://www.npr.org/sections/thetwo-way/2017/08/12/542982015/home-to-university-of-virginia-prepares-for-violence-at-white-nationalist-rally|NPR||Car Plows Into Crowd After White Nationalist Protest In Virginia|598f4dd9cd4d74061b000028|['injured' 'virginia video' 'crowd' 'car' 'car plows' 'incident shows' 'charlottesville va' 'marchers' 'protest' 'virginia']|2017-08-12T14:49:57-04:00
Car Strikes Protesters as White Nationalists Stage Demonstration in Virginia A car plowed into a crowd of protesters at a white supremacists rally in Charlottesville Va. hours after Gov.|https://www.wsj.com/articles/hundreds-face-off-ahead-of-white-nationalist-rally-in-virginia-1502553066|WSJ.com||WSJ NEWS ALERT: Car Strikes Protesters as White Nationalists Stage Demonstration in Virginia|598f5167cd4d74061b000029|['emergency' 'city officials' 'violent clashes' 'demonstration' 'stage' 'crowd' 'virginia' 'car' 'protesters' 'car strikes protesters' 'rally' 'gov' 'terry mcauliffe' 'a car' 'white supremacists rally' 'pedestrians' 'nationalists' 'charlottesville va' 'multiple injuries' 'wsj news alert car strikes protesters' 'charlottesville']|2017-08-12T15:04:51-04:00
Charlottesville Mayor Mike Singer tweeted Saturday that 'a life has been lost here' after a car struck counter-protesters at Saturday’s Unite the Right rally.|http://www.foxnews.com/us/2017/08/12/injuries-reported-after-car-plows-into-protesters-during-clashes-at-unite-right-rally.html|FoxNews.com||At least one dead after car hits Charlottesville counter-protesters mayor says|598f57bfcd4d74061b00002a|['car' 'charlottesville' 'mayor' 'counter-protesters mayor' 'counter-protesters' 'saturday’s' 'mike singer' 'unite' 'one' 'rally' 'a life' 'car hits']|2017-08-12T15:31:55-04:00
I am heartbroken that a life has been lost here Charlottesville mayor Mike Signer tweeted Saturday after violence erupted at a white nationalist rally in Virginia.|https://www.usatoday.com/story/news/2017/08/12/charlottesville-va-braces-alt-right-rally-thousands-robert-e-lee-statue/561833001/|USATODAY.com||BREAKING: Charlottesville mayor: One person dead after car crashes into crowd at white supremacist rally|598f589acd4d74061b00002b|['one' 'white supremacist rally' 'breaking charlottesville' 'mayor' 'virginia' 'heartbroken' 'crowd' 'white nationalist rally' 'charlottesville' 'car crashes' 'life' 'violence' 'person' 'mike signer']|2017-08-12T15:35:34-04:00
BREAKING: President Trump condemns 'egregious display of hatred bigotry and violence on many sides' after clashes erupt in Charlottesville Va.|https://www.usatoday.com/story/news/politics/2017/08/12/trump-unite-right-brawls-there-no-place-kind-violence/562077001/|USATODAY.com||BREAKING: President Trump condemns 'egregious display of hatred bigotry and violence on many sides' after clashes erupt in Charlottesville Va.|598f5d9ecd4d74061b00002c|[condemns 'egregious display 'white supremacist rally' 'charlottesville va' 'earlier we' 'condemn' 'trump' 'violence' 'hatred bigotry' 'clashes erupt' 'sides']|2017-08-12T15:56:45-04:00
Update: 1 killed after car plows into protesters in Charlottesville At least one person was killed today and several others injured after a car struck a group of protesters in Charlottesville Va. the city’s mayor said.||Los Angeles Times||Update: 1 killed after car plows into protesters in Charlottesville|598f5e99cd4d74061b00002d|['charlottesville va' 'protesters' 'car' 'violence' 'sides.”.' 'possible terms' 'city’s mayor said' 'charlottesville' 'update' 'governor' 'brawls' 'one' 'event' 'group' '1' 'emergency' 'white nationalists' 'violence saying “we condemn' 'trump' 'others' 'car plows' 'large gathering' 'hatred bigotry' 'person' 'egregious display']|2017-08-12T16:01:24-04:00
A Virginia state official tells the Associated Press that the driver of a car that killed one person and injured 19 others during an anti-white supremacist protest in Charlottesville is in custody.|http://www.foxnews.com/us/2017/08/12/one-dead-19-injured-after-car-plows-into-protesters-during-clashes-at-unite-right-rally.html|FoxNews.com||Driver of car that hit Charlottesville protesters in custody official says|598f610ccd4d74061b00002e|['19' 'car' 'driver' 'virginia' 'person' 'charlottesville' 'anti-white supremacist' 'one' 'protesters' 'others' 'custody']|2017-08-12T16:11:32-04:00
News Alert: At least 1 dead after clashes at white nationalist gathering in Va.; Trump condemns 'bigotry racism and violence on many sides'|https://www.washingtonpost.com/local/fights-in-advance-of-saturday-protest-in-charlottesville/2017/08/12/155fb636-7f13-11e7-83c7-5bd5460f0d7e_story.html|The Washington Post||News Alert: At least 1 dead after clashes at white nationalist gathering in Va.; Trump condemns 'bigotry racism and violence on many sides'|598f62c3cd4d74061b00002f|['possible terms' '—' condemns 'bigotry racism 'i urge' 'white nationalist gathering' 'division' 'white nationalists' '10' 'unclear' 'tweeted' 'clashes' 'three' 'life' 'cars' 'va. trump' 'bedminster n.j.' 'violence' 'we condemn' 'intentional' 'egregious display' 'trump' 'sides..' 'death' 'details' 'available' 'hurt' 'sides' '1' 'charlottesville' 'events' 'accidental' 'hatred bigotry' 'closely' 'mayor' 'heartbroken' 'pedestrian mall' 'views' 'mike signer']|2017-08-12T16:18:54-04:00
1 Dead When Car Plows Into Crowd After White Nationalist Protest In Virginia Nineteen people were reportedly injured in the crash.|http://www.npr.org/sections/thetwo-way/2017/08/12/542982015/home-to-university-of-virginia-prepares-for-violence-at-white-nationalist-rally|NPR||1 Dead When Car Plows Into Crowd After White Nationalist Protest In Virginia|598f670ccd4d74061b000031|['emergency' 'crowd' 'rally' 'dead' 'virginia' 'virginia nineteen' 'car plows' 'governor' 'crash' 'counterprotesters' 'protest' 'white nationalists']|2017-08-12T16:37:00-04:00
The driver of a silver Dodge Charger plowed into one of the groups streaming away from the rally at Emancipation Park through the narrow downtown streets.|https://www.usatoday.com/story/news/2017/08/12/charlottesville-va-braces-alt-right-rally-thousands-robert-e-lee-statue/561833001/|USATODAY.com||BREAKING: Driver that hit crowd at white supremacist rally killing 1 has been taken into custody Virginia Secretary of Public Safety Brian Moran said|598f6829cd4d74061b000032|['virginia' 'white supremacist rally' 'rally' 'safety brian moran' 'crowd' 'dodge charger' 'driver of a silver' 'groups' 'secretary' '1' 'emancipation' 'driver' 'custody' 'streets' 'park' 'one']|2017-08-12T16:41:57-04:00
Terry McAuliffe and local officials hold a press conference on Saturday’s violence during a white supremacist rally that left one person dead and dozens injured.|http://www.foxnews.com/|FoxNews.com||Authorities hold news conference on violence in Charlottesville Va.|598f7a7ecd4d74061b000033|['authorities' 'gov' 'terry mcauliffe' 'news conference' 'one' 'white supremacist rally' 'charlottesville va' 'complete' 'saturday’s' 'violence' 'foxnews.com.' 'news channel' 'person' 'virginia' 'dozens injured' 'press conference' 'local officials']|2017-08-12T17:59:58-04:00
Julie Banderas hosts a special edition of Fox Report with continuing coverage of today’s violence in Charlottesville Va. at 7 p.m.|http://video.foxnews.com/v/1241186546001/|FoxNews.com||Special edition of 'Fox Report' on Charlottesville violence at 7 p.m. ET|598f87d3cd4d74061b000034|['julie banderas' 'today’s violence' 'charlottesville' 'violence' 'hosts' 'channel' 'charlottesville va' 'special edition' '7']|2017-08-12T18:57:03-04:00
Judge Jeanine Pirro hosts a special edition of 'Justice' with continuing coverage of today’s violence in Charlottesville Va. at 9 p.m.|http://video.foxnews.com/v/1241186546001/|FoxNews.com||Special edition of 'Justice with Judge Jeanine' on Charlottesville violence at 9 p.m. ET|598fa2ebcd4d74061b000035|['news channel' 'justice' 'special edition' 'hosts' 'today’s violence' 'judge' 'charlottesville' 'jeanine' 'jeanine pirro' 'violence' 'foxnews.com.' '9' 'charlottesville va']|2017-08-12T20:52:47-04:00
Virginia State Police confirmed that two of their troopers died in a helicopter crash while helping law enforcement officers monitor Saturday's white nationalist rally in Charlottesville.|http://www.foxnews.com/us/2017/08/12/two-killed-in-virginia-helicopter-crash-tied-to-white-supremacist-rally.html|FoxNews.com||Two Virginia state troopers killed in helicopter crash outside Charlottesville police confirm|598fa7cccd4d74061b000036|['state troopers' 'troopers' 'virginia' 'white nationalist rally' 'helicopter crash' 'charlottesville' 'law enforcement officers monitor']|2017-08-12T21:13:24-04:00
Car Strikes Protesters Killing One at White Nationalist Rally Violent clashes between white nationalists and their opponents turned deadly prompting President Donald Trump to issue a call for calm and the governor of Virginia to declare a state of emergency.|https://www.wsj.com/articles/hundreds-face-off-ahead-of-white-nationalist-rally-in-virginia-1502553066|WSJ.com||WSJ NEWS ALERT: Car Strikes Protesters Killing One at White Nationalist Rally|598fac73cd4d74061b000037|['car strikes protesters killing one' 'group' 'call' 'emergency' 'virginia' 'opponents' 'rally violent' 'matter' '32-year-old female pedestrian' 'police custody' 'white nationalists' 'donald trump' 'wsj news alert car strikes protesters killing one' 'car' 'charged local police said' 'governor' 'rally' 'deadly' 'clashes' vehicle's driver 'criminal homicide' '19']|2017-08-12T21:33:20-04:00
The man suspected of plowing a car into a crowd of counter-protesters during Saturday’s white nationalist rally in Charlottesville Va. has been identified as 20-year-old James Alex Fields local police say.|http://www.foxnews.com/us/2017/08/12/ohio-man-20-identified-as-suspect-who-drove-car-into-charlottesville-protesters.html|FoxNews.com||Suspect accused of driving car into Charlottesville protesters identified|598fb040cd4d74061b000038|['james alex fields' 'car' 'protesters' 'white nationalist rally' '20-year-old' 'suspect' 'charlottesville va' 'local police say' 'man' 'counter-protesters' 'charlottesville' 'crowd' 'saturday’s']|2017-08-12T21:49:29-04:00
Low vaccination rates found at hundreds of California schools Even with a new law that has boosted kindergarten vaccination rates to record highs hundreds of schools across California still have so many children lacking full immunization that they pose an increased risk of disease outbreaks according to a Times analysis of state data.||Los Angeles Times||Special Report: Low vaccination rates found at hundreds of California schools|59905d21cd4d74061b00003c|['kindergarten vaccination rates' 'california' 'low' 'disease outbreaks' 'children' 'report low' 'analysis' 'record highs hundreds' 'schools' 'latest' 'new law' 'full immunization' 'state data' 'vaccination rates' 'risk' 'pose' 'hundreds']|2017-08-13T10:07:20-04:00
 Heather Heyer 32 has been identified as the victim who was killed during protests at a white supremacist rally in Charlotte...|http://www.foxnews.com/us/2017/08/13/heather-heyer-charlottesville-victim-32-was-virginia-paralegal-report.html#&_intcmp=hpbt1|FoxNews.com||Heather Heyer 32 has been identified as the victim who was killed during protests at a white supremacist rally in Charlotte...|599074bdcd4d74061b00003e|['protests' 'charlotte...' '32' 'white supremacist rally' 'victim' 'heather heyer']|2017-08-13T11:48:06-04:00
Breaking News: Here's what we know about the 20-year-old driver charged in the death of a woman in a crowd protesting white nationalists in Virginia|https://www.nytimes.com/2017/08/13/us/james-alex-fields-charlottesville-driver-.html|NYTimes.com|101549|Breaking News: Here's what we know about the 20-year-old driver charged in the death of a woman in a crowd protesting white nationalists in Virginia|5990778dcd4d74061b00003f|['woman' 'death' 'crowd' 'white nationalists' '20-year-old driver' 'virginia' 'header']|2017-08-13T11:59:56-04:00
While swastikas were on display in Charlottesville Va. on Saturday most of the neo-Nazis and white supremacists there used other symbols from the Confederate battle flag to the Detroit Red Wings logo.|https://usat.ly/2vzz8w8|USATODAY.com||BREAKING: Swastika use is on the rise but among those who understand it least|59908b1fcd4d74061b000040|['rally' 'message' 'battle flag' 'swastika' 'symbols' 'rebel' 'hispanic' 'shun' 'breaking swastika' 'personal grudge' 'black' 'gay' 'groups' 'confederate' 'iconography' 'american hate' swastika's place 'detroit' 'display' 'infamy distracts' 'charlottesville va' 'wings' 'white supremacists' 'red' 'jewish' 'swastikas' 'kids vandals' 'shock' 'non-ideological haters' 'logo' 'neo-nazis' 'assumption']|2017-08-13T13:23:29-04:00
James Alex Fields Jr. 20 was charged with one count of second-degree murder after driving into a crowd of counterprotesters near a white supremacist rally in Charlottesville.|https://www.washingtonpost.com/local/one-dead-as-car-strikes-crowds-amid-protests-of-white-nationalist-gathering-in-charlottesville-two-police-die-in-helicopter-crash/2017/08/13/3590b3ce-8021-11e7-902a-2a9f2d808496_story.html|The Washington Post||Trending Now: Charlottesville suspect espoused Nazi ideals in high school former teacher says|59909798cd4d74061b000041|['counterprotesters' 'jr' 'white supremacist rally' 'charlottesville' 'high school' 'james alex' 'second-degree murder' 'world war' 'one' 'ideals' 'democracy dies' 'paper' 'nazi' 'teacher' 'military' 'fields' 'history teacher' 'crowd' 'trending now charlottesville' '20' 'darkness' 'ii']|2017-08-13T14:16:24-04:00
Thomas fired a 3-under 68 in the final round to hold on down the stretch at Quail Hollow.|https://www.usatoday.com/story/sports/golf/2017/08/13/pga-championship-justin-thomas-wins-first-major-finishes-8-under/563439001/|USATODAY.com||BREAKING: Justin Thomas wins 99th PGA Championship for first career major title|5990da95cd4d74061b000042|['pga championship' '68' 'final round' '3-under' '99th' 'breaking justin thomas' 'career major title' 'thomas' 'stretch' 'quail hollow']|2017-08-13T19:02:32-04:00
On a sunny Sunday afternoon on a stunning tropical island kayaks glide on the water Harleys roll down the street and a nuclear threat hangs in the air.|https://www.usatoday.com/story/news/nation-now/2017/08/13/guam-under-nuclear-threat-sun-shines-and-we-still-live/563443001/|USATODAY.com||BREAKING: Amid sunshine and sparkling waters Guam residents live under nuclear threat|5990ecadcd4d74061b000043|['nuclear threat' 'tropical island kayaks glide' 'sunny' 'nuclear threat hangs' 'residents' 'air' 'sunshine' 'water' 'street' 'guam' 'life' 'breaking amid' 'harleys' 'waters']|2017-08-13T20:19:31-04:00
At least 17 dead after gunmen attack restaurant in Burkina Faso official says|http://www.cbsnews.com/news/burkina-faso-attack-restaurant-ouagadougou/|CBS||At least 17 dead after gunmen attack restaurant in Burkina Faso official says|59910738cd4d74061b000044|['displaying' 'email' '17' 'burkina faso' 'gunmen attack restaurant']|2017-08-13T22:12:43-04:00
Among those suspended: the bar where a Wisconsin woman drowned amid suspicious circumstances while on vacation with her family in January.|https://www.usatoday.com/story/news/nation-now/2017/08/12/mexican-authorities-seize-illicit-alcohol-crackdown-resorts/562385001/|USATODAY.com||BREAKING: 10000 gallons of illicit alcohol seized after crackdown at Mexican resorts|59910a09cd4d74061b000045|['woman' 'wisconsin' 'family' 'suspicious circumstances' 'suspended' 'mexican resorts' 'gallons' '10000' 'vacation' 'crackdown' 'illicit alcohol']|2017-08-13T22:24:43-04:00
While they still approve of the job Trump is doing the collapse of the GOP's promise to repeal the Affordable Care Act has rattled some of his loyalists.|https://www.usatoday.com/story/news/politics/2017/08/14/trumps-core-supporters-begin-worry-future-success/561903001/|USATODAY.com||BREAKING: Trouble in Trumpland: The president's core supporters begin to worry|59918c05cd4d74061b000046|['anxiety' 'breaking trouble' 'signs' 'jeff sessions' 'care' 'collapse' 'loyalists' gop's 'act' 'trumpland' 'job' 'public humiliation' 'house' 'usa today network voter panel' 'white house staff' 'attorney' 'trump' 'voters' 'chaos' 'core supporters' 'repeal']|2017-08-14T07:39:32-04:00
So why did a judge rule they can't pursue marijuana charges A ruling last week in a federal case in San Francisco illustrates how a years-old bipartisan congressional agreement on medical marijuana enforcement could pose a serious roadblock to any attempt by the Trump administration to crack down on medical use of the drug.||Los Angeles Times||Special Report: The feds seized guns gold and 320 pot plants. So why did a judge rule they can't pursue marijuana charges?|5991a040cd4d74061b000047|['pursue marijuana charges' 'years-old' 'drug' 'san francisco' 'latest' 'ruling' 'medical use' 'illustrates' 'medical marijuana enforcement' 'attempt' 'pot plants' 'bipartisan congressional agreement' 'administration' '320' 'judge rule' 'federal case' 'pose' 'trump' 'feds' 'serious roadblock' 'guns gold']|2017-08-14T09:05:58-04:00
Learndirect faces collapse after failing to suppress Ofsted report The UK’s largest adult training and apprenticeships provider is at risk of collapse following a damning report by Ofsted the education regulator that the company tried to suppress.|https://www.execsense.com/ceo/create-advisory-board-how-to/|FT||Learndirect faces collapse after failing to suppress Ofsted report|5991a0decd4d74061b000048|['education regulator' 'suppress' 'adult training' 'apprenticeships provider' 'collapse' 'training courses' '73000' 'ofsted' 'learndirect' 'uk’s' 'risk' 'company' 'faces collapse' 'ofsted’s' 'grade' 'inspection' 'apprenticeships']|2017-08-14T09:08:31-04:00
Breaking News: The evil attack by a driver on a crowd of counterprotesters in Charlottesville was domestic terrorism the attorney general said|https://www.nytimes.com/2017/08/14/us/politics/domestic-terrorism-sessions.html|NYTimes.com|101570|Breaking News: The evil attack by a driver on a crowd of counterprotesters in Charlottesville was domestic terrorism the attorney general said|5991a17ecd4d74061b000049|['charlottesville' 'attorney general' 'evil attack' 'domestic terrorism' 'crowd' 'counterprotesters' 'driver' 'header']|2017-08-14T09:11:03-04:00
President Trump ripped Merck chairman and CEO Kenneth Frazier on Monday after the pharmaceutical executive resigned from the American Manufacturing Council in apparent protest of his administration’s public response to the violent white nationalist march in Charlottesville Virginia.||FoxBusiness.com||CHARLOTTESVILLE FALLOUT: Trump rips Merck CEO for leaving American Manufacturing Council|5991a667cd4d74061b00004a|['chairman' 'merck ceo' 'administration’s' 'charlottesville fallout trump' 'ceo kenneth frazier' 'charlottesville virginia' 'rips' 'council' 'trump' 'violent white nationalist march' 'pharmaceutical executive' 'public response' 'merck' 'manufacturing']|2017-08-14T09:31:55-04:00
Merck CEO resigns from Trump council over Charlottesville Merck chief executive Ken Frazier on Monday resigned from Donald Trump’s American Manufacturing Council in protest against the president's response to violence in Charlottesville.|https://www.execsense.com/ceo/create-advisory-board-how-to/|FT||Merck CEO resigns from Trump council over Charlottesville|5991a6a6cd4d74061b00004b|['charlottesville merck' 'statement' 'donald trump’s' 'frazier' 'manufacturing' 'run counter' 'charlottesville' 'fundamental values' 'violence' 'chief executive ken' 'merck ceo' 'group supremacy' 'expressions' 'equal”' 'hatred bigotry' 'response' 'trump' 'resigns' 'said “america’s leaders' 'council' 'twitter mr frazier']|2017-08-14T09:33:05-04:00
Merck CEO Quits Trump Advisory Council After Charlottesville Violence The head of U.S. drugmaker Merck has resigned from a manufacturing advisory council to the Trump administration in an apparent protest of the president's failure to condemn in stronger terms the white supremacists who marched and waged violence in Charlottesville Va. over the weekend.|https://www.wsj.com/articles/merck-ceo-quits-trump-advisory-council-after-charlottesville-violence-1502717371|WSJ.com||WSJ NEWS ALERT: Merck CEO Quits Trump Advisory Council After Charlottesville Violence|5991a939cd4d74061b00004d|['terms' 'head' 'white supremacists' 'administration' 'chairman' 'kenneth frazier' 'chief' 'group supremacy' 'wsj news alert merck ceo quits trump' 'drugmaker' 'violence' 'failure' 'advisory council' 'equal..' 'charlottesville violence' 'run counter' 'statement' saying america's leaders 'fundamental values' 'charlottesville va' 'merck ceo quits trump' 'u.s.' 'weekend' 'trump' 'twitter' 'expressions' 'condemn' 'hatred bigotry' 'merck']|2017-08-14T09:44:18-04:00
who quit an advisory panel over Mr. Trump's response to Charlottesville Va.|https://www.nytimes.com/2017/08/14/us/politics/trump-charlottesville-protest.html|NYTimes.com|101572|Breaking News: President Trump lashed out at an African-American C.E.O. who quit an advisory panel over Mr. Trump's response to Charlottesville Va.|5991ad88cd4d74061b00004e|['header' 'advisory panel' 'charlottesville va' 'response' 'trump' mr. trump's 'african-american c.e.o.']|2017-08-14T10:02:32-04:00
James Alex Fields Jr. 20 made his first court appearance - via video from jail - on charges of second-degree murder three counts of malicious wounding and one count of hit and run.|https://www.usatoday.com/|USATODAY.com||BREAKING: Judge denies bail for Charlottesville car attack suspect at first hearing|5991b5fbcd4d74061b00004f|['run' 'hearing' 'court appearance' 'three' 'james alex' 'counter-protesters' 'one' 'malicious' 'jr' 'man' 'car' 'jail' 'fields' 'ohio' 'video' 'charlottesville' 'bail' '20' 'judge denies bail' 'second-degree murder' 'car attack' 'white nationalist rally' 'crowd' 'judge']|2017-08-14T10:38:20-04:00
President Trump to deliver a statement from the White House.|http://video.foxnews.com/v/5270285052001/|FoxNews.com||President Trump to deliver statement from the White House|5991d036cd4d74061b000050|['statement' 'white house' 'trump' 'house' 'foxnews.com.' 'news channel']|2017-08-14T12:30:41-04:00
The statement follows President Trump's controversial response to violence in Charlottesville Va. where white supremacists and counter protesters clashed and a car crashed into a group of demonstrators killing at least one person and injuring 19.|https://www.usatoday.com/story/news/2017/08/14/live-stream-president-trump-expected-address-violence-charlottesville/104587002/|USATODAY.com||BREAKING: Live stream: President Trump is expected to address the weekend violence in Charlottesville Va.|5991d075cd4d74061b000051|['person' 'weekend violence' 'white supremacists' 'stream president' '19' 'one' 'demonstrators' 'breaking live' 'statement' 'charlottesville va' trump's 'car' 'violence' 'group' 'controversial response' 'counter protesters' 'address' 'trump']|2017-08-14T12:31:19-04:00
President Trump on Monday said the Department of Justice has opened a civil rights investigation into the deadly car attack that killed 1 American.|http://www.foxnews.com/politics/2017/08/14/trump-doj-has-opened-civil-rights-investigation-into-virginia-car-attack.html|FoxNews.com||Trump: DOJ has opened civil rights investigation into Virginia car attack|5991d45ecd4d74061b000052|['trump' 'trump doj' 'virginia' 'car attack' 'american' 'racist violence' 'department' 'groups' 'ku klux klan' '1' 'civil rights investigation' 'neo-nazi' 'justice']|2017-08-14T12:48:00-04:00
Three days after white supremacists and counter protesters clashed in the streets of Charlottesville Va President Trump declared Monday that racism is evil and said the Justice Department will open a civil rights investigation into the deadly car attack that left one woman dead. Justice will be delivered he said.|https://www.usatoday.com/story/news/politics/2017/08/14/white-house-response-to-charlottesville/564199001/|USATODAY.com||BREAKING: President Trump denounces racism after Charlottesville violence and promises 'justice will be delivered'|5991d539cd4d74061b000053|['neo-nazis' 'justice' 'repugnant' 'denounces racism' 'justice department' 'white supremacists' 'criminals' 'after white supremacists' 'violent acts' 'civil rights investigation' 'such groups' 'woman dead. justice' 'charlottesville' 'delivered' 'charlottesville va' 'evil' 'trump' 'one' 'violence' 'thugs..' 'kkk' 'car attack' 'streets' 'racism' 'counter protesters' 'dear' 'specifically']|2017-08-14T12:52:02-04:00
