id	subject	timestamp	article_url	sender	instance_id	tags	topsentence
587cfca5cd4d746aac000004	ORLANDO KILLER'S WIFE ARRESTED: Noor Salman reportedly charged with obstruction	2017-01-16T12:02:12-05:00	http://www.foxnews.com/us/2017/01/16/fbi-reportedly-arrests-wife-orlando-nightclub-killer-omar-mateen.html	FoxNews.com		['noor salman', 'nightclub gunman', 'omar mateen', 'york', 'fbi', 'media reported', 'connection', orlando killer's wife arrested noor salman, 'wife', 'massacre', 'orlando', 'obstruction']Noor Salman, the wife of the Orlando nightclub gunman Omar Mateen, was arrested by the FBI and charged with obstruction in connection with the massacre, the New York Times and other media reported.	
587d291fcd4d746aac00000f	LAST MAN ON THE MOON DEAD: Gene Cernan was 82	2017-01-16T15:11:52-05:00	http://www.foxnews.com/science/2017/01/16/eugene-cernan-last-man-to-walk-on-moon-dead-at-82.html	FoxNews.com		['astronaut', '82', 'confirms', 'age', 'moon', 'nasa', 'recent man', '1972', 'last man on the moon dead gene cernan', 'gene cernan']	Former astronaut Gene Cernan, who in 1972 became the most recent man to walk on the moon, has died at the age of 82, NASA confirms.
587d39abcd4d746aac000014	CAUGHT: Suspected Istanbul nightclub attacker reportedly in custody	2017-01-16T16:22:32-05:00	http://www.foxnews.com/	FoxNews.com		['hurriyet', 'nightclub', 'attack', '2', 'manhunt', 'newspaper reported', '39', 'caught suspected istanbul', 'weeks', 'custody', 'city', 'istanbul', 'nightclub attacker']	The suspect in the deadly New Year's attack at an Istanbul nightclub that left 39 dead was finally caught in the city after a manhunt lasting more than 2 weeks, the Hurriyet newspaper reported.
587db918cd4d746aac00001e	SEARCH IS OVER: Officials end hunt for missing Malaysia Airlines Flight 370	2017-01-17T01:26:07-05:00	http://www.foxnews.com/	FoxNews.com		['airliner', 'plane', 'indian ocean', 'officials end hunt', 'search is over', 'three-year hunt', 'trace', 'stretches', 'airlines', 'malaysia', '370', 'search', 'flight']	The search for Malaysia Airlines Flight 370 has ended after a three-year hunt for the plane across stretches of the Indian Ocean failed to turn up any trace of the airliner.
587e4bd7cd4d746aac000041	DEADLY MISTAKE: Nigeria bombs refugee camp, more than 100 killed	2017-01-17T11:52:15-05:00	http://www.foxnews.com/	FoxNews.com		['bombs refugee camp', 'deadly mistake nigeria', '100 state', 'boko haram', 'terrorists', 'official says', 'military jet', 'nigerian', '100']	Nigerian military jet targeting Boko Haram terrorists mistakenly bombs refugee camp, killing more than 100, state official says.
587e8cf7cd4d746aac00004e	SENTENCE SHORTENED: Chelsea Manning will be freed in May, after President Obama commutes her sentence	2017-01-17T16:30:15-05:00	http://www.foxnews.com/	FoxNews.com		['vast majority', chelsea manning's, '17 2017', 'commutes', 'sentence', '35-year sentence', 'sentence shortened chelsea manning', 'solider', 'army documents', 'obama']President Obama commutes the vast majority of former solider Chelsea Manning's 35-year sentence for leaking Army documents, which will end May 17, 2017.	
587eb3d2cd4d746aac00005e	IN CUSTODY: Suspected Orlando cop-killer arrested	2017-01-17T19:16:13-05:00	http://www.foxnews.com/	FoxNews.com		['orlando', 'foxnews.com.', 'complete', 'captured police announce', 'markeith loyd', 'officer', 'cop-killer', 'in custody suspected orlando', 'deaths', 'pregnant woman']	Markeith Loyd, the suspect in the shooting deaths of an Orlando Police officer and a pregnant woman, has been captured, police announce.
587f1bcccd4d746aac000066	BUSH 41 HOSPITALIZED: George H.W. Bush reportedly in Houston hospital, condition unknown	2017-01-18T02:39:32-05:00	http://www.foxnews.com/	FoxNews.com		['texas fox', 'staff jean becker', 'methodist hospital', 'chief', '41', 'george h.w.', 'hospital condition', 'houston', '26', 'bush', 'hospitalized george h.w.']	Bush has been hospitalized at Houston Methodist Hospital in Texas, Fox 26 reports, citing his Chief of Staff Jean Becker.
587fb909cd4d740290000008	HOSPITALIZED: Former First Lady Barbara Bush, former President George HW Bush admitted	2017-01-18T13:50:45-05:00	http://www.foxnews.com/politics/2017/01/18/bush-41-cant-make-inauguration-tells-trump-sitting-outside-could-put-me-six-feet-under.html	FoxNews.com		['fatigue', 'family spokesman said', 'icu', 'houston', 'coughing', 'methodist hospital', 'george hw bush', 'lady', 'pres', 'barbara bush', 'hospitalized', hospital's]Former first lady Barbara Bush admitted to Houston Methodist Hospital after experiencing fatigue and coughing, a family spokesman said, adding that Pres.	
587fbcc3cd4d74029000000d	WATCH LIVE: President Obama holds final news conference	2017-01-18T14:06:13-05:00	http://video.foxnews.com/v/2554225322001/#sp=watch-live	FoxNews.com		['final news conference', 'news conference', 'obama', '215pm', 'foxnews.com.']	President Obama holds his last scheduled news conference at 2:15pm ET.
