58f63861cd4d7405950000ca	FACEBOOK KILLER DEAD : So-called Facebook Killer Steve Stephens who killed a man in Cleveland on Sunday sparking a five-state manhunt has killed himself2017-04-18T12:01:27-04:00	http://www.foxnews.com/	FoxNews.com		['so-called' 'stranger' 'pennsylvania' 'five-state manhunt' 'erie pa' 'facebook' 'man' 'killer steve stephens' 'facebook killer dead' 'easter sunday' 'cleveland' 'steve stephens']	Steve Stephens the Cleveland man who gunned down a stranger on Easter Sunday sparking a five-state manhunt killed himself after being stopped by police in Erie Pa. according to Pennsylvania State Police.
587fb909cd4d740290000008	HOSPITALIZED: Former First Lady Barbara Bush former President George HW Bush admitted	2017-01-18T13:50:45-05:00	http://www.foxnews.com/politics/2017/01/18/bush-41-cant-make-inauguration-tells-trump-sitting-outside-could-put-me-six-feet-under.html	FoxNews.com		['fatigue' 'family spokesman said' 'icu' 'houston' 'coughing' 'methodist hospital' 'george hw bush' 'lady' 'pres' 'barbara bush' 'hospitalized' hospital's]Former first lady Barbara Bush admitted to Houston Methodist Hospital after experiencing fatigue and coughing a family spokesman said adding that Pres.
587fbcc3cd4d74029000000d	WATCH LIVE: President Obama holds final news conference	2017-01-18T14:06:13-05:00	http://video.foxnews.com/v/2554225322001/#sp=watch-live	FoxNews.com		['final news conference' 'news conference' 'obama' '215pm' 'foxnews.com.']	President Obama holds his last scheduled news conference at 2:15pm ET.
587ff7b8cd4d7409b4000004	CALL TO THE HALL: Jeff Bagwell Tim Raines Ivan Rodriguez elected to Baseball Hall of Fame	2017-01-18T18:18:07-05:00	http://www.foxnews.com/	FoxNews.com		['ivan rodriguez' 'baseball' 'fame' 'association' 'tim raines jeff bagwell' 'call to the hall jeff bagwell tim raines ivan rodriguez' 'america' 'ranks' 'three' 'baseball hall' 'baseball immortals']	The ranks of baseball immortals grew by three Wednesday when Tim Raines Jeff Bagwell and Ivan Rodriguez were voted into the Baseball Hall of Fame by the Baseball Writers' Association of America.
58807aa6cd4d7409b4000012	DESPERATE SEARCH: Italian authorities say 30 missing after avalanche buries mountainside hotel	2017-01-19T03:36:39-05:00	http://www.foxnews.com/	FoxNews.com		['authorities say' 'avalanche' 'avalanche buries mountainside hotel' 'italian authorities' 'mountainside hotel' 'desperate search' 'italy' '30']	At least 30 people are missing after an avalanche buried a mountainside hotel in central Italy authorities say.
5880cf53cd4d7409b400001f	TRUMP TRANSITION: Former Georgia Gov. Perdue selected for Agriculture Secretary	2017-01-19T09:38:06-05:00	http://www.foxnews.com/politics/2017/01/19/sonny-perdue-nominated-to-lead-agriculture-department.html	FoxNews.com		['secretary' 'agriculture secretary' 'final cabinet selection' 'donald trump' 'gov' 'agriculture' 'president-elect' 'georgia' 'nominate' 'trump transition' 'perdue' 'sonny perdue']	President-elect Donald Trump to nominate former Georgia Gov.
5880efdecd4d7409b4000021	NEW RNC CHAIR: Republican National Committee picks Ronna Romney McDaniel as chair	2017-01-19T11:56:50-05:00	http://www.foxnews.com/politics/2017/01/19/gop-selects-ronna-romney-mcdaniel-to-lead-partys-operation.html	FoxNews.com		['40' 'niece' 'michigan republican ronna romney mcdaniel' 'gop' 'position' 'woman' 'presidential candidate' 'rnc' 'national committee' 'new rnc chair republican' 'mitt romney' 'ronna romney mcdaniel' 'chair']	Michigan Republican Ronna Romney McDaniel niece of former GOP presidential candidate Mitt Romney has been chosen as RNC chair making her the first woman to hold the position in 40 years.
58811e1acd4d7409b4000028	LAST ACT:: Obama cuts short sentences of 330 drug offenders AP reports	2017-01-19T15:14:01-05:00	http://www.foxnews.com/politics/2017/01/19/in-final-act-as-president-obama-commutes-330-drug-sentences.html	FoxNews.com		['major act' 'short sentences' obama's 'sentences' 'climactic close' 'drug crimes' 'cuts' 'bid' 'move' 'systematic injustice' 'last act obama' '330' 'drug offenders' 'barack obama' 'federal inmates']In his last major act as president Barack Obama is cutting short the sentences of 330 federal inmates convicted of drug crimes.
588207fccd4d74429700000d	SURVIVORS FOUND: At least 8 alive in Italian hotel after avalanche	2017-01-20T07:51:45-05:00	http://www.foxnews.com/world/2017/01/20/rescue-crews-continue-to-scour-italian-hotel-ravaged-by-avalanche.html	FoxNews.com		['children' 'italian' 'hotel' 'rubble' 'avalanche' '8' 'italian hotel' 'survivors found' 'rescuers' '2' 'italian media report']	Rescuers find at least 8 people including 2 children alive in the rubble of the Italian hotel crushed by an avalanche Italian media report.
588212c6cd4d74429700000f	INAUGURATION DAY: Trump family leaves Blair House	2017-01-20T08:38:04-05:00	http://video.foxnews.com/v/2553193403001/#sp=watch-live	FoxNews.com		['inauguration day trump' 'family' 'inauguration' 'blair' 'foxnews.com.' 'president-elect' 'family leaves' 'church prayer service' 'house' 'st' 'donald trump' 'complete']	President-elect Donald Trump and his family leave Blair House for St. John's Church prayer service on Inauguration Day.
5882230ecd4d744297000013	WHITE HOUSE GREETING: Obamas welcome Trumps for reception	2017-01-20T09:47:32-05:00	http://video.foxnews.com/v/2553193403001/#sp=watch-live	FoxNews.com		['reception' 'white house greeting obamas' 'president-elect' 'melania trump' 'foxnews.com.' 'donald trump' 'barack obama' 'trumps' 'white house' 'complete' 'michelle obama' 'lady']	President-elect Donald Trump and Melania Trump arrive at White House for reception with President Barack Obama and First Lady Michelle Obama.
